length,real_depth,random_depth,real_max_arity,random_max_arity
3,2,2.7,2,1.3
59,15,18.35,6,3.9
33,15,12.7,4,3.45
37,10,12.6,5,3.9
21,7,9.4,4,3.25
24,7,9.95,6,3.2
21,11,9.45,7,3.1
16,7,7.7,4,3.05
28,8,11.3,9,3.7
43,15,13.9,4,3.7
60,9,17.85,7,4.3
7,2,4.95,6,2.3
12,6,6.7,6,2.7
52,17,14.8,5,3.9
54,14,17.1,6,3.4
48,10,14.9,5,3.95
45,13,14.6,8,3.75
15,4,7.4,7,2.85
25,7,11.15,5,3.05
23,9,10.4,6,3.2
13,7,7.15,3,2.75
26,11,10.25,5,3.3
31,10,12.0,5,3.35
39,8,13.55,6,3.8
20,9,8.75,5,3.15
52,15,15.9,6,3.95
23,7,10.85,6,3.1
30,12,12.1,5,3.5
43,11,13.2,7,3.65
40,14,13.9,4,3.45
57,17,17.35,5,3.85
43,12,14.15,6,3.5
53,13,16.45,9,3.6
25,7,10.65,10,3.3
4,3,3.25,2,1.75
44,14,14.4,5,3.65
25,6,10.35,5,2.9
24,7,10.35,5,3.3
4,3,3.45,2,1.55
35,11,12.65,6,3.8
34,9,12.15,6,3.85
34,11,12.4,5,3.6
18,8,8.8,3,3.05
10,5,6.5,4,2.4
52,14,15.25,6,3.9
25,11,10.4,5,3.35
31,14,11.75,5,3.2
56,14,16.2,6,3.75
25,5,11.4,6,3.2
15,9,7.85,5,2.6
57,10,16.3,4,3.55
32,8,13.35,4,3.4
50,14,15.1,5,3.6
44,14,14.25,5,3.8
25,6,10.15,5,3.4
24,7,9.95,5,3.15
21,9,9.3,5,3.4
29,10,11.2,7,3.75
31,13,12.8,5,3.1
48,9,15.45,5,3.85
62,16,16.55,6,4.0
49,14,14.9,6,3.55
50,15,15.75,5,3.75
56,13,16.45,4,3.65
40,10,14.65,5,3.45
46,14,14.85,8,3.85
56,14,15.95,7,4.15
17,10,8.25,3,2.85
68,15,17.15,5,4.1
15,5,7.85,4,2.95
22,7,9.95,4,3.15
3,2,2.7,2,1.3
10,5,5.75,3,2.55
31,10,11.1,6,3.2
33,7,11.55,4,3.4
20,6,9.0,5,2.85
17,5,9.15,5,2.85
32,10,12.15,4,3.25
7,3,4.95,5,2.3
18,7,8.1,5,3.25
21,7,10.25,4,2.95
13,6,6.85,5,2.85
9,4,5.6,4,2.4
29,8,11.25,6,3.35
19,9,8.85,4,3.3
23,9,9.75,4,3.15
7,5,5.05,3,2.25
5,3,4.0,2,1.8
12,7,6.9,4,2.9
17,7,8.65,4,2.7
11,5,6.35,3,2.55
6,4,4.55,2,2.15
7,4,4.7,3,2.3
30,9,11.2,3,3.7
16,5,7.75,7,3.0
