length,real_depth,random_depth,real_max_arity,random_max_arity
6,4,4.35,2,2.15
9,6,5.6,3,2.35
9,5,6.0,4,2.3
10,5,6.45,3,2.45
7,5,4.4,2,2.4
18,5,8.65,5,3.2
20,7,9.2,5,3.15
27,7,11.0,5,3.2
15,5,8.15,5,2.8
9,7,5.45,3,2.55
12,7,6.55,3,2.6
19,6,8.7,5,2.95
21,6,9.85,6,3.3
13,5,7.2,5,2.9
13,5,6.9,4,2.7
18,5,8.9,6,2.95
60,13,16.95,6,3.75
3,3,2.7,1,1.3
19,8,9.15,4,3.15
9,6,5.25,3,2.45
18,9,8.5,4,2.9
38,9,13.0,5,3.65
3,3,2.85,1,1.15
17,11,7.95,3,2.95
13,8,7.3,3,2.75
11,5,6.05,3,2.75
15,8,7.1,3,3.0
24,12,9.7,4,3.3
3,3,2.4,1,1.6
3,2,2.6,2,1.4
14,8,7.45,3,2.85
20,11,9.55,3,3.0
3,3,2.65,1,1.35
15,8,7.1,3,3.05
5,4,3.8,2,1.95
4,3,3.45,2,1.55
41,9,13.45,5,3.65
30,6,11.0,6,3.6
3,2,2.7,2,1.3
3,3,2.65,1,1.35
22,10,9.35,4,3.35
18,6,8.4,5,3.0
9,6,5.7,3,2.45
6,3,4.6,3,1.9
3,2,2.75,2,1.25
28,10,10.9,4,3.55
3,2,2.6,2,1.4
9,4,5.65,3,2.45
14,7,7.75,3,3.0
6,3,4.65,4,2.05
16,8,8.2,3,3.35
14,5,7.75,4,2.7
23,7,9.6,4,3.25
6,3,4.45,3,2.15
6,3,4.3,3,2.15
14,6,7.5,3,3.05
5,3,3.95,3,1.8
15,6,8.75,5,2.75
19,8,9.55,6,3.05
5,3,4.05,3,1.85
21,5,8.85,6,3.1
10,5,5.95,3,2.6
18,6,8.4,5,2.7
13,6,7.2,5,2.55
21,7,9.75,4,3.1
23,8,9.5,8,3.15
19,5,9.3,5,3.15
7,4,4.7,3,2.4
5,4,4.15,2,1.75
8,5,5.1,3,2.35
16,7,8.7,3,3.0
19,10,8.95,4,2.95
15,6,7.75,5,3.0
9,3,5.5,5,2.65
5,3,3.9,2,2.0
5,2,3.8,4,1.85
9,3,5.55,5,2.45
42,12,15.05,4,3.8
11,5,6.45,3,2.45
15,7,7.5,3,2.85
20,7,9.5,4,3.0
23,8,10.05,5,3.5
8,3,5.4,4,2.5
11,5,6.3,4,2.55
19,7,9.05,4,3.25
7,3,4.85,3,2.35
10,6,6.5,3,2.25
16,6,7.9,4,2.7
15,6,8.15,4,2.65
30,5,10.7,8,3.3
9,2,5.35,8,2.5
7,3,4.7,4,2.35
15,5,8.0,5,3.0
20,6,8.75,5,3.0
10,5,6.4,3,2.35
14,7,7.6,4,2.75
7,5,4.95,3,2.45
18,7,8.65,4,2.85
21,10,9.8,3,3.2
10,7,6.05,3,2.7
14,8,7.65,3,2.85
22,10,10.3,4,3.1
4,2,3.45,3,1.55
28,7,11.0,5,3.35
4,3,3.25,2,1.75
24,10,10.15,5,3.25
11,4,6.6,5,2.65
8,3,5.1,5,2.35
11,4,5.9,6,2.8
48,13,15.15,11,3.6
9,4,5.6,4,2.6
6,3,4.45,3,2.05
20,9,8.6,4,3.3
19,10,8.8,3,3.15
11,7,5.9,3,2.75
29,11,12.0,6,3.25
13,7,6.75,3,2.7
7,3,4.75,4,2.5
4,2,3.45,3,1.55
5,3,3.7,2,2.1
3,2,2.6,2,1.4
24,12,10.0,3,3.2
19,8,8.5,5,3.1
8,5,5.4,4,2.3
5,3,3.65,2,2.0
3,2,2.7,2,1.3
18,6,8.3,5,3.35
27,8,11.1,9,3.35
6,4,4.35,3,2.15
5,3,3.5,2,2.15
14,4,7.3,5,2.7
9,5,5.5,4,2.6
22,7,9.15,4,3.15
54,12,16.1,5,3.6
36,16,12.45,3,3.8
12,6,6.8,3,2.55
28,9,12.95,7,3.3
12,5,7.0,4,2.8
7,5,4.65,3,2.25
17,10,8.3,3,3.0
8,5,5.1,4,2.35
26,5,11.45,6,3.35
8,2,5.55,7,2.2
8,2,5.35,7,2.35
18,11,8.2,3,3.15
8,3,5.15,5,2.4
22,8,9.05,6,3.7
20,6,9.5,4,3.1
13,7,6.7,3,2.55
3,2,2.65,2,1.35
62,10,17.7,6,3.95
39,12,13.95,6,3.65
42,10,14.9,5,3.3
13,7,7.65,3,2.75
19,8,8.65,6,3.15
22,7,8.7,4,3.25
4,3,3.3,2,1.7
11,6,6.1,5,2.8
20,8,9.3,4,3.25
6,3,4.35,3,2.1
12,5,6.8,5,2.9
18,6,8.9,5,3.1
16,3,8.05,7,3.0
12,6,7.35,3,2.65
30,7,12.9,4,3.4
24,7,10.1,4,3.1
9,5,6.2,3,2.3
38,9,13.5,6,3.65
3,2,2.45,2,1.55
62,9,17.3,6,3.55
39,12,12.95,6,3.45
42,10,14.45,5,3.75
13,7,6.85,3,2.85
19,8,9.5,6,2.75
22,7,10.25,4,2.9
4,3,3.5,2,1.5
11,6,6.1,5,2.75
20,8,8.6,4,3.3
6,3,4.4,3,2.0
12,5,6.65,5,2.7
18,6,8.2,5,3.2
16,3,8.05,7,2.8
12,6,6.25,3,3.15
30,7,11.15,4,3.55
24,7,10.55,4,3.35
9,5,5.85,3,2.55
21,6,9.9,4,3.1
17,7,8.8,7,3.1
33,11,12.3,6,3.35
32,12,12.8,4,3.45
21,9,10.45,5,3.15
21,7,9.3,7,3.55
9,4,5.9,3,2.35
8,5,5.4,3,2.35
17,6,9.1,5,2.85
3,3,2.7,1,1.3
28,13,11.95,4,3.2
10,6,6.25,4,2.45
9,4,5.7,4,2.35
15,9,7.75,3,3.05
18,7,8.0,4,2.85
31,9,12.15,5,3.7
38,15,14.05,5,3.7
16,6,8.85,5,2.6
10,3,6.15,5,2.65
14,7,7.45,3,2.8
10,5,6.15,4,2.65
9,2,5.9,8,2.4
10,2,5.4,9,2.75
19,4,9.45,8,3.0
21,4,9.0,9,3.25
3,2,2.65,2,1.35
27,10,10.45,4,3.25
7,3,4.8,4,2.25
3,3,2.8,1,1.2
4,3,3.05,2,1.95
27,8,10.75,4,3.15
38,9,12.1,4,3.65
10,5,6.7,4,2.4
14,5,7.4,5,2.95
10,6,5.8,3,2.85
18,9,8.2,4,2.9
7,4,4.35,4,2.6
3,2,2.6,2,1.4
10,4,6.45,4,2.65
9,5,5.85,4,2.6
12,5,6.5,5,2.5
9,4,5.6,4,2.55
19,7,9.0,3,3.25
42,11,14.35,5,3.8
6,4,4.3,3,2.15
10,7,6.05,3,2.6
5,3,3.85,2,1.95
3,3,2.6,1,1.4
20,5,8.9,7,3.1
15,6,8.15,3,2.8
33,8,12.05,4,3.45
16,6,8.75,4,2.9
9,5,5.45,3,2.65
30,9,10.55,5,3.55
5,4,3.85,2,1.9
23,8,9.45,3,3.35
9,4,5.55,3,2.5
8,4,5.0,4,2.5
4,3,3.6,2,1.4
5,3,3.9,3,1.85
3,2,2.65,2,1.35
3,3,2.5,1,1.5
10,5,6.15,3,2.6
3,3,2.85,1,1.15
17,6,8.9,4,3.0
9,5,5.65,3,2.5
17,8,8.0,4,3.05
19,7,9.4,6,3.25
29,7,10.8,6,3.65
9,5,5.45,3,2.4
10,5,5.75,4,2.45
12,7,6.75,4,2.7
6,3,4.3,3,2.1
59,12,16.5,6,3.65
24,8,10.05,6,3.3
29,8,11.3,4,3.2
33,10,12.15,5,3.7
16,11,8.25,3,2.5
21,7,8.65,6,3.45
54,19,17.65,6,4.0
26,11,10.4,6,3.5
20,10,8.3,4,3.15
8,6,5.35,3,2.4
11,4,6.2,5,2.6
37,3,14.15,13,3.55
5,2,3.75,4,2.05
50,6,15.05,11,4.0
26,14,11.4,4,3.45
21,6,9.65,4,3.25
9,3,5.9,6,2.4
54,14,16.95,4,4.0
12,6,6.75,3,2.65
5,2,3.85,4,2.15
22,7,10.2,5,3.05
17,10,8.85,3,3.25
13,9,6.95,3,2.85
5,2,3.7,4,2.05
23,12,9.75,4,3.0
11,3,6.2,6,2.6
16,6,8.5,4,2.7
3,3,2.85,1,1.15
8,5,5.6,4,2.3
17,6,8.6,6,2.9
35,8,13.55,6,3.45
47,12,15.1,7,3.7
20,8,9.25,7,2.85
7,4,4.4,3,2.7
11,7,6.1,2,2.8
12,4,6.7,4,2.5
5,3,3.8,3,2.05
30,8,10.7,6,3.55
15,6,7.95,3,2.75
11,4,5.85,4,2.95
14,6,7.25,5,2.8
4,2,3.15,3,1.85
13,4,7.85,7,2.55
5,3,3.75,3,2.05
17,8,8.45,4,2.95
34,6,12.05,9,3.55
41,14,14.45,5,3.55
12,7,6.8,3,2.9
27,9,10.6,4,3.5
50,20,16.25,4,3.45
33,14,12.05,5,3.45
13,10,7.7,3,2.7
13,8,7.2,4,2.95
5,4,3.8,2,2.05
39,14,12.75,4,3.5
35,14,12.75,5,3.75
3,3,2.65,1,1.35
10,4,6.55,4,2.4
5,3,3.9,3,1.9
10,6,5.9,5,2.5
25,8,9.3,5,3.45
16,7,8.0,3,2.8
12,6,6.45,4,2.7
9,4,5.25,4,2.55
36,12,14.15,5,3.45
19,5,8.75,6,3.2
26,8,11.15,6,3.5
11,6,6.85,3,2.4
3,2,2.6,2,1.4
20,8,8.6,4,3.4
21,10,10.15,3,3.15
5,3,3.75,3,2.05
22,8,9.35,5,2.95
29,8,11.45,6,3.6
16,6,8.45,5,2.7
26,8,11.6,6,3.25
43,16,14.15,5,3.5
7,4,5.2,4,2.1
20,12,8.8,4,3.2
9,4,5.8,4,2.55
3,3,2.6,1,1.4
3,2,2.55,2,1.45
23,8,8.9,4,3.55
15,6,7.75,4,2.8
13,5,7.25,3,2.85
18,7,9.05,5,3.1
20,10,8.9,4,3.3
7,3,4.75,3,2.3
19,7,8.25,5,3.35
13,5,7.35,4,2.95
5,3,3.5,3,2.15
14,6,7.85,5,2.7
3,3,2.55,1,1.45
10,4,5.9,4,2.7
9,5,5.7,3,2.55
3,3,2.85,1,1.15
10,4,6.8,4,2.55
32,9,11.7,5,3.45
11,6,6.6,3,2.4
7,2,4.65,6,2.45
3,3,2.6,1,1.4
10,5,5.8,3,2.7
3,3,2.6,1,1.4
11,5,6.7,4,2.6
14,5,6.9,4,3.0
24,11,10.55,6,3.1
9,5,5.6,3,2.65
60,17,16.4,4,3.85
77,16,18.4,6,4.0
19,6,9.9,4,3.0
7,4,4.75,2,2.3
27,11,10.55,3,3.8
41,12,14.6,6,3.5
26,8,10.65,6,3.35
31,13,12.0,5,3.35
25,8,10.7,5,3.0
23,9,10.9,5,3.25
29,12,10.5,4,3.3
23,11,10.75,5,3.05
34,7,13.1,5,3.5
8,4,5.1,2,2.55
55,7,16.2,8,3.9
14,7,7.7,2,2.6
14,9,7.4,3,2.85
13,5,6.9,4,2.9
15,7,7.75,3,2.95
12,6,6.5,4,2.85
11,8,6.65,2,2.7
20,12,8.45,3,3.3
24,11,10.85,5,3.45
20,10,9.35,3,3.1
34,14,12.45,3,3.55
28,9,12.25,4,3.4
15,7,7.9,4,2.8
20,7,8.5,4,3.3
38,13,13.3,4,3.35
38,8,13.1,5,4.0
25,7,11.25,5,3.15
26,8,10.6,6,3.35
26,9,11.2,4,3.4
33,8,11.85,5,3.35
40,16,13.95,4,3.65
26,7,10.8,3,3.45
16,7,8.3,4,2.85
14,6,7.7,4,2.95
30,10,11.4,5,3.35
28,7,10.9,4,3.1
9,6,5.95,3,2.35
28,10,10.75,4,3.4
22,8,10.05,5,3.05
21,7,9.5,4,3.15
6,4,4.25,3,2.15
9,6,5.5,4,2.65
15,9,7.5,3,2.9
10,5,6.05,4,2.75
3,2,2.6,2,1.4
17,11,8.8,3,3.0
22,7,9.95,5,3.35
34,15,12.0,4,3.5
31,11,12.25,5,3.3
41,15,14.65,5,3.35
35,11,12.5,4,3.8
9,5,5.8,4,2.45
34,15,12.45,5,3.55
26,10,10.0,3,3.35
24,12,9.85,6,3.25
10,6,5.8,3,2.8
3,2,2.4,2,1.6
18,12,9.8,3,2.95
10,5,6.1,5,2.45
38,12,13.75,4,3.65
29,11,11.3,5,3.5
39,15,12.95,5,3.7
34,9,12.8,4,3.6
11,7,6.6,4,2.5
38,14,12.8,4,3.8
13,9,7.2,3,2.8
23,12,9.75,4,3.3
27,13,9.8,8,3.45
10,6,6.0,3,2.6
3,2,2.65,2,1.35
18,12,8.65,3,2.95
10,5,5.85,5,2.65
37,11,13.45,4,3.6
29,11,11.15,5,3.5
40,16,13.65,5,3.45
34,11,12.5,4,3.65
11,7,6.95,4,2.5
37,14,12.4,4,3.35
21,10,9.3,5,2.9
22,10,10.65,3,3.2
18,7,8.4,4,2.95
13,9,6.95,3,2.8
25,12,10.6,4,3.25
26,12,11.25,8,3.2
10,6,6.15,3,2.5
9,6,5.85,3,2.35
13,7,7.4,4,2.65
21,10,9.7,4,3.15
23,10,10.6,4,3.25
9,3,5.75,5,2.55
20,9,9.25,3,3.05
16,6,8.3,4,2.8
20,8,8.85,4,3.1
38,9,12.25,6,3.7
25,7,10.1,4,3.35
13,5,7.05,5,2.7
13,7,7.35,3,2.65
15,6,7.9,4,3.05
14,6,7.15,4,2.9
8,5,5.15,3,2.5
12,6,6.5,3,2.8
23,6,9.9,7,3.05
13,5,7.65,4,2.9
58,18,17.65,5,3.9
19,8,8.9,4,3.2
14,5,7.65,4,2.65
50,15,15.85,5,3.5
76,14,19.05,6,4.15
30,12,10.85,4,3.3
29,12,11.95,5,3.65
11,6,6.25,3,2.7
33,11,12.1,5,3.4
42,17,13.7,4,3.55
29,7,11.75,7,3.4
3,3,2.75,1,1.25
21,9,8.35,3,3.35
36,20,12.9,3,3.55
28,13,11.6,4,3.5
22,8,10.05,5,3.15
23,11,10.8,4,3.15
25,11,9.45,5,3.3
44,13,15.95,6,3.35
15,4,8.05,6,2.95
22,9,10.7,4,2.9
18,7,8.85,4,2.95
43,11,13.55,6,3.75
46,12,15.5,5,3.75
3,3,2.75,1,1.25
31,9,11.4,5,3.5
14,6,7.25,4,2.7
3,2,2.7,2,1.3
23,10,9.6,5,3.25
27,9,10.75,7,3.3
26,7,10.7,5,3.2
7,3,4.85,5,2.05
4,2,3.35,3,1.65
5,3,4.0,3,1.9
10,6,6.05,3,2.6
12,7,6.9,3,2.5
28,9,10.35,4,3.8
3,2,2.65,2,1.35
3,3,2.55,1,1.45
18,6,8.85,4,3.1
5,4,4.0,2,1.9
3,3,2.7,1,1.3
3,3,2.8,1,1.2
18,6,8.85,4,3.05
14,9,6.9,4,2.8
23,4,9.75,7,3.15
5,3,3.65,3,2.05
3,3,2.55,1,1.45
21,14,9.3,3,3.25
15,7,8.0,4,2.55
27,5,11.55,6,3.4
10,4,6.05,3,2.55
7,4,4.4,3,2.45
10,5,6.2,6,2.25
3,3,2.8,1,1.2
14,9,7.45,4,2.9
23,4,10.8,7,3.35
5,3,3.55,3,2.25
3,3,2.8,1,1.2
21,14,9.9,3,3.2
15,7,8.15,4,2.7
27,5,11.9,6,3.1
10,4,6.15,3,2.75
7,4,4.55,3,2.3
22,9,9.55,5,3.15
13,4,7.85,5,2.7
45,9,14.55,6,3.8
29,9,12.3,6,3.3
30,10,11.1,5,3.55
7,3,4.75,4,2.35
4,2,3.25,3,1.75
16,6,8.35,4,3.15
13,8,7.2,4,2.75
11,5,5.45,3,2.95
24,10,10.45,4,3.0
6,4,4.0,3,2.25
28,8,10.7,4,3.6
19,12,8.95,3,2.8
17,6,8.55,6,3.05
31,9,10.9,5,3.4
21,10,9.7,4,3.4
25,10,9.75,6,3.45
15,6,7.7,5,2.75
22,8,9.25,5,3.2
26,10,10.0,7,3.6
18,9,8.75,3,3.05
24,7,10.85,5,2.85
11,6,6.1,5,2.8
3,2,2.65,2,1.35
21,5,9.25,6,3.2
22,5,9.4,6,3.0
4,2,3.2,3,1.8
8,3,5.0,5,2.55
3,2,2.5,2,1.5
3,3,2.7,1,1.3
3,2,2.45,2,1.55
17,8,8.7,4,3.0
16,9,8.0,3,2.95
11,6,6.65,3,2.55
4,2,3.2,3,1.8
3,2,2.9,2,1.1
26,5,10.05,8,3.25
9,4,6.0,6,2.45
6,4,4.2,3,2.1
18,6,8.45,5,2.9
6,3,4.2,4,2.4
15,8,7.85,4,2.9
28,7,10.55,5,3.5
10,6,5.7,4,2.75
13,6,6.8,4,2.85
13,4,7.0,7,2.9
4,3,3.35,2,1.65
17,7,8.4,4,3.15
7,4,4.9,3,2.3
17,6,7.9,5,3.15
12,6,6.65,4,3.15
18,7,8.75,4,3.0
23,10,10.45,5,3.1
6,3,4.1,3,2.4
16,7,8.3,4,3.05
29,11,11.8,6,3.4
15,5,8.15,4,2.8
8,4,5.45,4,2.55
19,6,8.9,4,3.1
35,10,12.1,7,3.3
18,5,8.95,4,3.3
15,7,7.9,3,2.85
14,8,7.55,3,2.7
10,6,5.7,3,2.85
17,5,8.2,3,3.0
26,11,10.95,4,3.25
24,8,10.0,5,3.5
13,7,7.15,3,2.85
12,7,6.35,3,2.9
12,6,6.4,3,2.65
13,5,6.65,5,3.15
15,6,7.85,5,2.8
18,5,8.95,7,2.85
3,2,2.55,2,1.45
4,3,3.4,2,1.6
33,9,11.3,5,3.3
29,11,12.0,5,3.35
32,7,12.25,5,3.35
17,5,8.0,7,3.15
15,9,7.95,3,3.05
28,13,12.05,5,3.15
12,7,7.15,3,2.55
14,8,6.95,3,2.85
8,6,5.65,3,2.25
64,22,18.35,4,3.85
37,12,12.75,6,3.65
14,7,7.35,3,3.1
15,5,7.7,4,3.0
21,7,9.45,4,3.25
7,5,4.9,3,2.25
3,2,2.75,2,1.25
3,3,2.6,1,1.4
27,13,11.35,3,3.2
8,5,5.4,4,2.35
23,9,10.0,5,3.25
30,9,12.35,3,3.45
17,11,8.4,5,2.85
11,7,6.05,4,2.8
9,5,5.45,3,2.7
18,5,8.75,5,3.15
29,12,10.15,3,3.45
16,9,7.95,3,3.1
16,9,8.3,3,2.55
10,7,6.1,3,2.85
17,8,8.5,3,3.1
33,12,11.3,6,3.45
13,8,6.55,3,2.65
6,4,4.25,3,2.1
16,6,7.5,4,3.15
6,4,4.35,3,2.2
17,4,7.6,4,2.95
5,2,3.9,4,1.9
7,2,4.85,6,2.2
11,5,6.8,4,2.55
6,4,4.8,3,1.8
8,5,5.3,3,2.35
3,2,2.6,2,1.4
3,3,2.65,1,1.35
16,8,8.45,3,2.85
19,9,8.95,3,2.9
16,7,8.0,3,2.75
3,3,2.6,1,1.4
11,6,6.5,3,2.75
3,2,2.65,2,1.35
3,3,2.7,1,1.3
21,11,10.3,3,3.1
11,6,6.0,4,2.7
10,6,5.45,3,2.85
8,5,5.15,3,2.45
5,5,3.95,1,1.75
4,2,3.4,3,1.6
22,12,9.3,4,3.3
33,11,12.85,5,3.35
18,9,9.05,5,2.9
13,8,6.85,3,2.8
4,2,3.5,3,1.5
13,7,7.35,3,2.7
5,5,3.7,1,2.15
4,2,3.3,3,1.7
22,12,9.55,4,2.95
33,11,13.1,5,3.35
18,9,8.3,5,3.1
13,8,7.1,3,2.8
4,2,3.35,3,1.65
6,4,4.55,3,2.05
7,4,4.85,3,2.35
3,2,2.6,2,1.4
3,3,2.75,1,1.25
3,2,2.6,2,1.4
23,9,9.55,4,3.45
11,4,6.15,4,2.6
11,5,6.35,3,2.9
5,3,3.6,2,2.25
27,11,11.05,4,3.3
15,7,7.85,5,2.85
6,3,4.75,4,1.95
14,10,6.7,4,2.85
14,6,7.25,6,2.75
14,4,8.0,6,2.55
14,4,7.95,5,2.8
14,5,8.0,5,2.65
14,5,7.7,5,2.75
13,4,6.5,5,2.75
13,4,6.9,5,3.05
13,4,7.05,5,2.85
13,4,6.75,5,2.95
13,4,7.4,5,2.7
13,4,6.85,5,2.7
13,4,7.4,5,2.65
13,4,7.2,5,2.8
14,5,7.5,5,2.85
13,4,7.35,5,2.65
13,4,7.4,5,2.45
13,4,7.2,5,2.9
13,4,7.4,5,2.65
16,6,8.75,5,2.7
8,5,4.8,2,2.3
8,4,5.35,3,2.3
5,5,4.05,1,1.85
6,4,4.4,3,1.95
33,6,11.05,7,3.95
11,5,6.1,4,2.7
22,6,9.55,5,3.25
3,2,2.65,2,1.35
5,3,4.05,2,1.75
4,2,3.5,3,1.5
6,4,4.35,3,2.2
3,3,2.55,1,1.45
4,3,3.4,2,1.6
6,4,4.3,2,2.2
7,4,4.65,2,2.3
5,4,3.85,2,2.0
12,7,6.8,3,2.8
9,4,5.7,4,2.55
23,5,10.0,4,3.2
17,7,8.45,4,2.95
8,4,5.55,4,2.1
5,4,3.65,2,2.0
4,3,3.15,2,1.85
7,3,4.65,5,2.55
17,6,7.85,5,3.05
3,2,2.8,2,1.2
3,2,2.5,2,1.5
6,4,4.4,3,2.2
15,6,8.35,4,2.5
6,3,4.6,3,2.05
21,6,9.25,5,3.25
23,7,9.3,6,3.35
24,9,10.5,6,3.5
16,9,8.5,3,2.75
4,3,3.25,2,1.75
5,4,4.0,2,1.9
23,9,9.4,4,3.4
48,18,14.7,6,3.8
3,3,2.75,1,1.25
9,5,5.5,3,2.5
3,2,2.45,2,1.55
11,6,6.2,4,2.65
3,2,2.75,2,1.25
3,2,2.75,2,1.25
3,2,2.7,2,1.3
4,2,3.3,3,1.7
10,6,5.85,3,2.65
3,2,2.6,2,1.4
3,3,2.85,1,1.15
12,4,7.05,5,2.8
7,4,4.75,3,2.15
6,3,4.1,4,2.35
12,4,6.35,5,2.8
3,2,2.55,2,1.45
3,2,2.5,2,1.5
26,8,10.95,5,3.15
13,4,6.85,5,2.7
13,4,7.2,5,2.75
7,3,4.9,4,2.15
20,9,9.8,3,2.9
14,6,7.4,4,2.6
36,9,12.75,5,3.5
24,6,10.75,5,3.05
15,7,7.7,3,2.9
24,8,10.3,3,3.25
45,12,13.75,6,3.6
19,8,8.9,3,3.2
4,3,3.4,2,1.6
30,9,12.1,3,3.5
4,3,3.5,2,1.5
4,3,3.35,2,1.65
3,3,2.6,1,1.4
6,4,4.1,2,2.2
6,5,4.55,2,1.8
10,5,6.25,5,2.4
9,4,5.8,4,2.55
6,5,4.55,2,2.0
8,5,4.95,2,2.35
9,5,5.75,2,2.35
18,8,9.6,4,2.75
10,5,5.7,2,2.5
15,5,7.2,6,2.8
10,4,6.0,5,2.6
7,4,5.2,4,2.15
3,2,2.7,2,1.3
3,3,2.65,1,1.35
22,9,10.55,4,3.25
21,9,9.8,4,3.05
23,7,10.0,6,3.1
19,9,9.4,3,3.0
21,8,10.35,5,2.95
28,6,11.6,7,3.65
18,9,8.45,4,2.95
40,9,14.0,5,3.6
32,10,12.1,5,3.55
30,9,11.6,7,3.6
3,3,2.85,1,1.15
3,3,2.65,1,1.35
20,7,8.8,4,3.05
33,9,12.25,6,3.4
26,6,9.75,6,3.2
3,2,2.7,2,1.3
12,3,7.0,5,2.95
13,6,6.85,3,2.9
20,8,9.85,6,2.95
23,9,9.3,5,3.35
15,6,7.8,4,2.8
9,6,5.75,3,2.4
3,2,2.6,2,1.4
6,3,4.4,3,2.05
21,6,10.45,5,3.0
23,7,10.15,6,3.2
24,9,9.65,6,3.45
16,9,9.0,3,2.5
4,3,2.9,2,2.1
5,4,3.85,2,1.9
23,9,9.6,4,3.5
48,18,14.85,6,4.0
3,3,2.5,1,1.5
9,5,6.0,3,2.55
3,2,2.75,2,1.25
11,6,6.75,4,2.65
3,2,2.6,2,1.4
3,2,2.55,2,1.45
3,2,2.7,2,1.3
4,2,3.2,3,1.8
9,7,5.15,3,2.75
11,5,6.35,3,2.8
14,6,7.3,5,2.95
7,4,4.7,3,2.05
5,3,3.95,3,1.9
19,6,8.75,8,3.45
7,3,4.5,3,2.4
7,4,4.4,3,2.25
11,6,6.25,5,2.6
4,3,3.0,2,2.0
9,4,5.6,3,2.5
19,3,10.0,7,3.1
4,2,3.45,3,1.55
8,5,4.85,3,2.6
28,7,12.35,6,3.4
4,3,3.35,2,1.65
4,3,3.3,2,1.7
6,3,4.35,3,2.15
3,2,2.7,2,1.3
11,7,6.5,3,2.5
5,3,3.85,3,1.8
5,2,3.9,4,1.85
20,9,9.8,4,2.85
8,4,5.0,4,2.5
19,6,8.95,7,2.9
5,3,4.15,2,1.75
5,3,3.7,3,2.05
27,6,11.2,5,3.5
17,5,8.15,5,2.95
4,3,3.25,2,1.75
10,5,6.35,4,2.4
23,6,10.8,5,3.45
6,3,4.5,3,2.15
10,6,5.55,4,2.75
4,3,3.2,2,1.8
16,6,8.45,5,3.05
11,4,6.6,5,2.7
8,5,5.5,3,2.25
9,5,5.55,3,2.55
17,7,8.45,5,3.1
12,9,7.35,3,2.35
16,7,8.05,4,3.1
11,4,6.2,5,2.75
14,9,7.6,3,2.65
10,4,5.75,4,2.3
11,4,6.5,8,2.45
3,2,2.6,2,1.4
3,3,2.7,1,1.3
6,4,4.45,2,2.1
17,7,8.0,6,3.1
8,5,5.25,4,2.45
9,5,5.75,3,2.55
33,7,11.75,7,3.4
8,6,4.95,3,2.6
23,8,10.35,5,3.45
33,9,13.05,5,3.15
12,5,7.1,4,2.75
22,11,8.75,4,3.4
11,7,6.7,3,2.55
14,6,7.75,3,2.95
14,5,7.9,7,2.75
11,6,6.4,3,2.55
3,2,2.7,2,1.3
10,6,6.05,4,2.5
20,6,9.15,4,3.05
17,9,8.25,4,2.95
32,8,12.0,4,3.85
13,7,7.15,5,2.8
3,2,2.65,2,1.35
3,2,2.7,2,1.3
10,3,5.95,7,2.65
5,3,3.8,3,2.0
10,6,6.05,3,2.6
14,8,7.75,3,3.0
7,5,4.55,2,2.35
11,6,6.15,5,2.7
13,6,7.15,3,2.7
22,8,8.85,4,3.4
35,17,12.5,4,3.55
13,6,7.3,3,3.0
3,2,2.75,2,1.25
15,9,8.2,3,2.85
9,6,5.8,3,2.4
40,17,13.85,6,3.75
26,9,10.9,4,3.35
34,9,12.35,4,3.2
14,6,7.4,4,2.6
7,3,4.4,4,2.25
3,2,2.45,2,1.55
7,4,4.65,3,2.35
5,4,3.65,2,2.1
20,9,9.4,3,2.75
23,10,9.6,3,3.2
24,9,10.6,5,3.25
19,9,9.5,3,2.8
19,5,9.4,6,2.9
16,8,8.45,5,3.05
46,14,15.45,3,3.65
11,5,6.7,5,2.25
18,9,8.85,3,2.8
13,6,7.35,4,2.5
20,7,8.95,5,3.0
13,6,6.85,3,2.75
37,3,13.45,11,3.5
3,3,2.7,1,1.3
8,3,5.35,6,2.25
10,6,5.7,3,2.9
10,5,6.25,3,2.5
8,4,5.6,3,2.1
6,3,4.2,4,2.4
16,7,8.2,4,2.7
3,3,2.7,1,1.3
15,8,7.65,3,2.8
35,10,12.75,5,3.15
14,7,7.4,5,3.2
17,9,9.4,6,2.6
20,10,9.0,3,3.4
12,6,6.55,5,2.6
11,6,6.5,4,2.65
13,10,7.2,3,2.8
5,3,3.85,3,1.95
3,3,2.65,1,1.35
24,10,9.8,3,3.4
3,2,2.65,2,1.35
7,4,4.95,3,2.15
34,6,12.1,9,3.6
3,2,2.65,2,1.35
5,3,3.8,3,2.1
12,7,7.3,4,2.55
3,3,2.5,1,1.5
16,7,7.6,4,3.2
3,3,2.65,1,1.35
22,9,9.7,4,3.35
15,8,8.1,4,2.75
10,5,5.9,3,2.65
12,5,6.4,6,2.6
3,2,2.55,2,1.45
3,3,2.65,1,1.35
3,2,2.65,2,1.35
3,3,2.95,1,1.05
10,5,6.3,5,2.5
5,3,4.1,3,1.7
23,9,10.45,4,3.15
18,6,9.0,5,3.15
13,5,7.35,5,2.8
26,8,11.3,4,3.25
3,2,2.6,2,1.4
26,12,10.55,3,3.2
6,4,4.2,3,2.4
18,9,8.35,6,3.15
12,8,6.55,3,2.85
7,3,4.7,3,2.55
17,10,8.2,4,3.25
17,7,8.1,4,3.3
6,4,4.05,3,2.3
13,7,7.25,5,2.7
31,8,12.05,5,3.25
16,7,8.05,3,3.0
