length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
29,9,4.620689655172414,6,1.2675045321157707,3.5357142857142856,0.6071428571428571,1.2857142857142858,9.812807881773399,1.312807881773399,12.45,6.853448275862069,3.0,1.1708968670664246,10.460714285714282,5.696428571428571,8.05892857142857,8.471428571428572,2.931650246305419
18,7,3.5555555555555554,5,1.2676770290452553,2.9411764705882355,0.8823529411764706,1.2941176470588236,7.0588235294117645,0.5424836601307189,8.2,4.730555555555555,3.3,1.182529872684908,6.49705882352941,2.8941176470588235,4.720588235294119,6.03529411764706,1.6192810457516338
17,9,4.764705882352941,3,1.2530462261125415,2.4375,0.5625,0.875,5.830882352941177,1.7573529411764706,8.45,4.93529411764706,2.85,1.1608033550761416,5.959375,3.059375,4.38125,5.435661764705881,1.8444852941176468
16,10,5.0,3,1.1432752061942137,2.066666666666667,0.6,0.7333333333333333,5.408333333333333,1.6416666666666666,8.3,4.840625,2.95,1.1381394181042226,5.713333333333334,2.6599999999999997,4.4399999999999995,5.1625,1.8575
36,9,5.055555555555555,5,1.2593553445650894,3.3142857142857145,0.8857142857142857,1.457142857142857,11.163492063492063,1.3873015873015873,12.3,6.811111111111112,3.3,1.2383912178352994,12.62857142857143,6.7385714285714275,10.772857142857141,9.945317460317458,2.6132539682539684
13,8,4.384615384615385,3,1.2202821662722372,2.0833333333333335,0.5,0.6666666666666666,4.461538461538462,1.4102564102564104,6.65,3.8576923076923073,3.0,1.1220486260416656,4.5125,2.1083333333333334,2.7583333333333333,4.401923076923077,1.146794871794872
13,7,4.153846153846154,3,1.2309316230479221,2.4166666666666665,0.5833333333333334,0.8333333333333334,4.3076923076923075,1.435897435897436,6.75,4.111538461538462,2.8,1.106957780706408,4.883333333333333,2.1625,3.0458333333333334,4.378846153846154,1.3897435897435901
16,7,4.5,3,1.0433534269422904,3.2666666666666666,0.8,1.4666666666666666,5.45,1.5583333333333333,7.65,4.653125,3.0,1.1404977862651482,6.063333333333334,2.61,4.1,5.192916666666667,1.72125
35,11,5.6,6,1.2398708878613585,2.764705882352941,0.8529411764705882,1.2058823529411764,11.699159663865546,1.1109243697478992,12.05,6.5357142857142865,3.5,1.239572935817182,11.98970588235294,6.76470588235294,10.151470588235293,9.794201680672268,2.366134453781512
20,8,4.3,5,1.26100156517892,2.789473684210526,0.5789473684210527,0.9473684210526315,7.521052631578947,1.2947368421052632,8.8,4.9125,3.2,1.1839298933737488,7.160526315789475,3.4421052631578952,5.281578947368422,6.331052631578947,1.6321052631578947
19,6,3.736842105263158,5,1.2367930007966412,3.1666666666666665,0.5555555555555556,1.0555555555555556,6.824561403508772,0.847953216374269,9.45,5.426315789473685,2.9,1.144833346781014,6.8583333333333325,3.555555555555556,5.125,5.913157894736843,2.2228070175438597
29,10,5.0,3,1.2324268614976588,2.75,0.75,1.2142857142857142,9.399014778325123,1.4236453201970443,11.65,6.599999999999999,3.65,1.2334223123889847,9.882142857142856,5.280357142857143,8.341071428571428,8.532389162561575,2.867364532019704
19,6,3.6315789473684212,4,1.267235545459896,2.7777777777777777,0.6111111111111112,1.3333333333333333,6.947368421052632,0.5847953216374269,9.0,5.181578947368421,3.1,1.1926973240648562,6.594444444444444,3.291666666666667,4.777777777777778,6.205847953216375,1.966374269005848
17,6,3.235294117647059,5,1.1874157698436563,2.5,0.6875,1.125,6.345588235294118,0.3602941176470588,7.75,4.644117647058824,2.95,1.1685493814345116,6.24375,2.953125,4.48125,5.502205882352942,1.5838235294117649
27,11,6.333333333333333,4,1.2491844100520213,2.6153846153846154,0.5769230769230769,1.0,9.367521367521368,2.905982905982906,10.15,5.735185185185184,3.45,1.2429288742492572,8.936538461538461,4.863461538461538,7.907692307692306,8.010826210826211,2.1941595441595445
26,13,6.6923076923076925,4,1.2913064088669086,3.28,1.0,1.64,9.086153846153847,2.8030769230769232,10.1,5.959615384615384,3.6,1.2160190037707108,8.864,4.575999999999999,7.434,7.81876923076923,2.471384615384616
27,8,4.074074074074074,4,1.2906977154932795,3.1923076923076925,0.8461538461538461,1.4230769230769231,9.435897435897436,0.7094017094017094,11.25,6.431481481481481,3.15,1.1811476800123308,9.048076923076923,5.021153846153846,7.865384615384616,8.08062678062678,2.675498575498575
11,4,2.727272727272727,5,1.0335620542068176,2.7,0.5,0.9,4.890909090909091,0.5454545454545454,6.15,3.6909090909090905,2.5,1.0718685757215456,3.915,1.7100000000000002,2.5850000000000004,3.702727272727272,1.1381818181818182
20,8,3.9,5,1.2706817223249798,3.3157894736842106,0.6842105263157895,1.4210526315789473,7.978947368421053,0.9578947368421052,8.7,4.8575,3.35,1.180612014869175,7.276315789473683,3.6473684210526316,5.481578947368422,6.367105263157894,1.6594736842105262
9,5,2.6666666666666665,4,0.9649629230074277,1.875,0.375,0.375,3.4722222222222223,0.3055555555555556,5.35,3.416666666666667,2.6,1.0400887930079503,3.20625,1.375,1.93125,2.9652777777777777,1.0597222222222222
15,7,4.0,3,1.1595697967390537,2.2857142857142856,0.35714285714285715,0.5714285714285714,5.771428571428571,1.0380952380952382,7.85,4.643333333333333,2.8,1.128761075030008,5.2178571428571425,2.6999999999999997,3.6142857142857148,4.821428571428571,1.7695238095238097
16,7,3.8125,4,1.2996509635498974,2.533333333333333,0.5333333333333333,0.8666666666666667,6.075,0.95,8.1,4.653125,3.05,1.141860308718979,5.633333333333333,2.94,3.886666666666666,5.184583333333334,1.7183333333333333
17,8,4.352941176470588,3,1.2530462261125415,2.3125,0.4375,0.75,6.139705882352941,1.3014705882352942,8.0,4.6117647058823525,2.85,1.1646015197025874,6.046875,3.125,4.428125,5.300735294117648,1.5794117647058823
40,9,4.825,6,1.3089618459912171,3.41025641025641,0.9487179487179487,1.6666666666666667,12.303846153846154,0.9692307692307692,13.55,7.48625,3.7,1.2352699308604425,13.748717948717948,7.721794871794872,12.207692307692309,10.81205128205128,3.1623717948717944
49,13,5.285714285714286,8,1.3150914706248606,4.791666666666667,1.625,2.7916666666666665,16.81972789115646,0.9302721088435374,13.65,7.418367346938775,3.85,1.249837437415967,16.909374999999997,9.480208333333334,14.84479166666667,12.05,2.8190476190476192
